Longitude (x)__Derived,Latitude (y)__Derived,Station Name__Derived,Climate ID__Derived,Date/Time__Derived,Year__Source,Month__Source,Day__Source,Max Temp (°C)__Source,Min Temp (°C)__Source,Mean Temp (°C)__Source,Heat Deg Days (°C)__Derived,Cool Deg Days (°C)__Derived,Total Rain (mm)__Source,Total Snow (cm)__Source,Total Precip (mm)__Source,Snow on Grnd (cm)__Derived,DownloadYear__Derived,Date__Source,Precip_Last_Day__Derived,Mean_Temp_Last_Day__Derived,Precip_3day_sum__Derived,Total_Rain_3day_sum__Derived,Total_Snow_3day_sum__Derived,Precip_7day_sum__Derived,Total_Rain_7day_sum__Derived,Total_Snow_7day_sum__Derived,Day_of_Year__Derived,Month_of_Year__Derived,Day_of_Year_sin__Derived,Day_of_Year_cos__Derived,Month_of_Year_sin__Derived,Month_of_Year_cos__Derived,Next_Day_Precip__Target,Flood_Event_Imminent__Target
-79.4,43.67,TORONTO CITY,6158355,2020-06-10,2020,6,10,30.4,16.9,23.7,0.0,5.7,0.0,0.0,15.7,0.0,2020,2020-06-10,0.0,23.3,0.5999999999999982,0.0,0.0,8.400000000000011,0.0,0.0,162,6,0.3474028211842774,-0.9377159910299093,1.2246467991473532e-16,-1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-04-22,2020,4,22,6.6,-1.9,2.4,15.6,0.0,0.0,0.0,1.3,0.0,2020,2020-04-22,0.8,3.4,1.5999999999999983,0.0,0.0,5.700000000000011,0.0,0.0,113,4,0.9312100364121948,-0.3644830148102913,0.8660254037844387,-0.4999999999999997,0.7,0
-79.4,43.67,TORONTO CITY,6158355,2019-05-06,2019,5,6,21.9,8.9,15.4,2.6,0.0,0.0,0.0,0.0,0.0,2019,2019-05-06,0.0,12.0,11.5,0.0,0.0,30.1,0.0,0.0,126,5,0.8271893372462497,-0.5619233046832194,0.4999999999999999,-0.8660254037844386,2.4,0
-79.4,43.67,TORONTO CITY,6158355,2019-10-31,2019,10,31,12.9,5.5,9.2,8.8,0.0,0.0,0.0,24.1,0.0,2019,2019-10-31,17.1,8.9,17.1,0.0,0.0,62.00000000000001,0.0,0.0,304,10,-0.8692328164574791,0.4944029842076181,-0.8660254037844385,0.5,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-04,2019,8,4,25.4,18.7,22.0,0.0,4.0,0.0,0.0,0.0,0.0,2019,2019-08-04,0.0,22.6,0.0,0.0,0.0,23.000000000000007,0.0,0.0,216,8,-0.5431052396834316,-0.8396646346181327,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-12-16,2019,12,16,1.5,-4.0,-1.2,19.2,0.0,0.0,0.0,0.0,0.0,2019,2019-12-16,0.2,-0.6,24.7,0.0,0.0,32.50000000000001,0.0,0.0,350,12,-0.2593382659754056,0.9657865518844576,-2.4492935982947064e-16,1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-09-30,2019,9,30,16.9,12.4,14.6,3.4,0.0,0.0,0.0,0.0,0.0,2019,2019-09-30,0.0,12.5,4.3,0.0,0.0,7.500000000000007,0.0,0.0,273,9,-0.9998699583618593,-0.016126573270657762,-1.0,-1.8369701987210297e-16,9.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-10-01,2019,10,1,29.6,15.3,22.5,0.0,4.5,0.0,0.0,9.0,0.0,2019,2019-10-01,0.0,14.6,4.3,0.0,0.0,7.500000000000007,0.0,0.0,274,10,-0.9999994220246924,0.001075151282798226,-0.8660254037844385,0.5,9.3,0
-79.4,43.67,TORONTO CITY,6158355,2020-08-14,2020,8,14,28.6,21.2,24.9,0.0,6.9,0.0,0.0,0.0,0.0,2020,2020-08-14,0.0,25.1,0.0,0.0,0.0,0.7000000000000142,0.0,0.0,227,8,-0.6913512362094072,-0.7225188358733111,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-05-08,2019,5,8,11.2,6.1,8.6,9.4,0.0,0.0,0.0,0.0,0.0,2019,2019-05-08,2.4,10.3,2.4,0.0,0.0,31.7,0.0,0.0,128,5,0.8073707443023493,-0.5900444739548625,0.4999999999999999,-0.8660254037844386,6.1,0
-79.4,43.67,TORONTO CITY,6158355,2020-09-16,2020,9,16,23.0,14.4,18.7,0.0,0.7,0.0,0.0,0.0,0.0,2020,2020-09-16,0.2,14.0,9.399999999999999,0.0,0.0,10.100000000000014,0.0,0.0,260,9,-0.9713952846837501,-0.23746831555846848,-1.0,-1.8369701987210297e-16,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-06-21,2020,6,21,30.1,20.1,25.1,0.0,7.1,0.0,0.0,0.4,0.0,2020,2020-06-21,0.8,25.4,2.6999999999999984,0.0,0.0,6.500000000000011,0.0,0.0,173,6,0.16481784665719793,-0.9863240225317866,1.2246467991473532e-16,-1.0,0.5,0
-79.4,43.67,TORONTO CITY,6158355,2019-09-12,2019,9,12,19.4,13.6,16.5,1.5,0.0,0.0,0.0,0.5,0.0,2019,2019-09-12,0.3,23.0,14.200000000000001,0.0,0.0,14.700000000000008,0.0,0.0,255,9,-0.9474042892438846,-0.32003923622313857,-1.0,-1.8369701987210297e-16,4.8,0
-79.4,43.67,TORONTO CITY,6158355,2020-11-08,2020,11,8,19.1,8.5,13.8,4.2,0.0,0.0,0.0,0.0,0.0,2020,2020-11-08,0.0,14.9,0.0,0.0,0.0,6.800000000000016,0.0,0.0,313,11,-0.7825970017677835,0.6225286602431056,-0.5000000000000003,0.8660254037844383,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-02-26,2019,2,26,-4.2,-9.9,-7.0,25.0,0.0,0.0,0.0,0.2,6.0,2019,2019-02-26,0.4,-4.3,10.4,0.0,0.0,13.1,0.0,0.0,57,2,0.8307970168121248,0.5565755266413303,0.8660254037844385,0.5000000000000001,8.6,0
-79.4,43.67,TORONTO CITY,6158355,2020-08-06,2020,8,6,23.9,14.1,19.0,0.0,1.0,0.0,0.0,0.0,0.0,2020,2020-08-06,0.4,20.0,35.5,0.0,0.0,82.10000000000001,0.0,0.0,219,8,-0.5856957398073507,-0.8105309990194824,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-04-15,2019,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,2019-04-15,24.0,3.9,25.4,0.0,0.0,27.2,0.0,0.0,105,4,0.972407556121997,-0.23328854407545524,0.8660254037844387,-0.4999999999999997,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-11-02,2020,11,2,7.7,-1.1,3.3,14.7,0.0,0.0,0.0,0.0,0.0,2020,2020-11-02,6.8,6.3,6.800000000000001,0.0,0.0,8.500000000000016,0.0,0.0,307,11,-0.8425720899866032,0.538583580492023,-0.5000000000000003,0.8660254037844383,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-04-04,2019,4,4,6.2,-0.8,2.7,15.3,0.0,0.0,0.0,0.0,0.0,2019,2019-04-04,0.0,5.0,0.3,0.0,0.0,39.6,0.0,0.0,94,4,0.9989315138848578,-0.046215046983708354,0.8660254037844387,-0.4999999999999997,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-23,2019,8,23,22.8,14.5,18.6,0.0,0.6,0.0,0.0,0.0,0.0,2019,2019-08-23,0.0,0.0,1.1,0.0,0.0,28.70000000000001,0.0,0.0,235,8,-0.7839338166829202,-0.6208444016506469,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-07-01,2019,7,1,26.3,15.9,21.1,0.0,3.1,0.0,0.0,0.0,0.0,2019,2019-07-01,0.0,21.5,13.5,0.0,0.0,31.900000000000006,0.0,0.0,182,7,0.010751307763521931,-0.9999422030204418,-0.4999999999999997,-0.8660254037844387,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-01-31,2019,1,31,-12.6,-21.2,-16.9,34.9,0.0,0.0,0.0,0.0,22.0,2019,2019-01-31,0.2,-17.5,16.3,0.0,0.0,28.099999999999998,0.0,0.0,31,1,0.5083564379375121,0.861146754048045,0.4999999999999999,0.8660254037844386,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-09-29,2020,9,29,18.6,13.3,15.9,2.1,0.0,0.0,0.0,5.5,0.0,2020,2020-09-29,5.8,20.7,7.2,0.0,0.0,12.500000000000018,0.0,0.0,273,9,-0.9998699583618593,-0.016126573270657762,-1.0,-1.8369701987210297e-16,7.7,0
-79.4,43.67,TORONTO CITY,6158355,2019-07-23,2019,7,23,26.4,17.0,21.7,0.0,3.7,0.0,0.0,0.0,0.0,2019,2019-07-23,0.7,21.2,5.0,0.0,0.0,31.000000000000004,0.0,0.0,204,7,-0.35947181308842324,-0.9331559438780431,-0.4999999999999997,-0.8660254037844387,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-12-20,2019,12,20,-2.9,-9.0,-5.9,23.9,0.0,0.0,0.0,0.2,4.0,2019,2019-12-20,1.4,-10.1,2.0999999999999996,0.0,0.0,26.800000000000008,0.0,0.0,354,12,-0.19232150523909486,0.9813319716704276,-2.4492935982947064e-16,1.0,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-09-25,2019,9,25,25.0,14.1,19.5,0.0,1.5,0.0,0.0,0.0,0.0,2019,2019-09-25,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,268,9,-0.9947883056093269,-0.10196189005174576,-1.0,-1.8369701987210297e-16,3.2,0
-79.4,43.67,TORONTO CITY,6158355,2019-11-10,2019,11,10,7.7,-0.3,3.7,14.3,0.0,0.0,0.0,0.2,1.0,2019,2019-11-10,0.0,1.0,4.3,0.0,0.0,5.200000000000006,0.0,0.0,314,11,-0.7717727365467838,0.6358984534680744,-0.5000000000000003,0.8660254037844383,14.1,1
-79.4,43.67,TORONTO CITY,6158355,2020-03-31,2020,3,31,6.3,4.4,5.4,12.6,0.0,0.0,0.0,0.3,1.0,2020,2020-03-31,2.5,7.6,14.899999999999999,0.0,0.0,17.90000000000001,0.0,0.0,91,3,0.9999855506507185,0.005375731557583884,1.0,6.123233995736766e-17,0.6,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-05,2019,8,5,28.3,17.0,22.7,0.0,4.7,0.0,0.0,0.0,0.0,2019,2019-08-05,0.0,22.0,0.0,0.0,0.0,23.000000000000007,0.0,0.0,217,8,-0.5574684374327891,-0.8301981337405213,-0.8660254037844383,-0.5000000000000003,5.1,0
-79.4,43.67,TORONTO CITY,6158355,2019-02-07,2019,2,7,6.2,-2.2,2.0,16.0,0.0,0.0,0.0,1.0,3.0,2019,2019-02-07,11.0,-2.9,13.3,0.0,0.0,13.3,0.0,0.0,38,2,0.6081214998935417,0.7938439653781021,0.8660254037844385,0.5000000000000001,0.2,0
-79.4,43.67,TORONTO CITY,6158355,2020-08-29,2020,8,29,26.8,17.2,22.0,0.0,4.0,0.0,0.0,0.0,0.0,2020,2020-08-29,0.0,20.6,7.5,0.0,0.0,8.000000000000014,0.0,0.0,242,8,-0.8528367217694593,-0.5221776766595079,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-11-09,2020,11,9,20.0,10.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,2020,2020-11-09,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,314,11,-0.7717727365467838,0.6358984534680744,-0.5000000000000003,0.8660254037844383,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-02-28,2020,2,28,-2.5,-9.4,-5.9,23.9,0.0,0.0,0.0,1.1,8.0,2020,2020-02-28,3.1,-4.0,15.1,0.0,0.0,17.40000000000001,0.0,0.0,59,2,0.8494504794814806,0.527668345562516,0.8660254037844385,0.5000000000000001,1.2,0
-79.4,43.67,TORONTO CITY,6158355,2019-11-22,2019,11,22,11.3,-0.4,5.5,12.5,0.0,0.0,0.0,0.0,0.0,2019,2019-11-22,4.3,6.0,4.3,0.0,0.0,10.100000000000007,0.0,0.0,326,11,-0.6250496486104375,0.7805849965070867,-0.5000000000000003,0.8660254037844383,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-02-02,2020,2,2,2.5,-0.1,1.2,16.8,0.0,0.0,0.0,6.1,4.0,2020,2020-02-02,2.1,-0.4,2.1,0.0,0.0,3.8000000000000074,0.0,0.0,33,2,0.5376773767406141,0.8431506618281999,0.8660254037844385,0.5000000000000001,0.5,0
-79.4,43.67,TORONTO CITY,6158355,2020-11-21,2020,11,21,7.4,1.6,4.5,13.5,0.0,0.0,0.0,0.0,0.0,2020,2020-11-21,0.0,12.2,0.0,0.0,0.0,10.200000000000015,0.0,0.0,326,11,-0.6250496486104375,0.7805849965070867,-0.5000000000000003,0.8660254037844383,17.3,1
-79.4,43.67,TORONTO CITY,6158355,2020-11-13,2020,11,13,9.6,5.0,7.3,10.7,0.0,0.0,0.0,0.1,0.0,2020,2020-11-13,0.0,7.2,0.3000000000000009,0.0,0.0,0.300000000000016,0.0,0.0,318,11,-0.7262249146041544,0.6874571793269664,-0.5000000000000003,0.8660254037844383,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-06,2019,8,6,26.5,19.7,23.1,0.0,5.1,0.0,0.0,5.1,0.0,2019,2019-08-06,0.0,22.7,0.0,0.0,0.0,22.800000000000008,0.0,0.0,218,8,-0.5716666713027051,-0.8204859638785328,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-03-11,2020,3,11,3.8,-0.9,1.5,16.5,0.0,0.0,0.0,0.2,2.0,2020,2020-03-11,3.4,5.6,4.099999999999998,0.0,0.0,7.900000000000009,0.0,0.0,71,3,0.9395699859530622,0.34235689199454206,1.0,6.123233995736766e-17,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-08-26,2020,8,26,21.6,15.0,18.3,0.0,0.3,0.0,0.0,7.5,0.0,2020,2020-08-26,0.0,22.9,0.4999999999999999,0.0,0.0,1.6000000000000143,0.0,0.0,239,8,-0.8247650844733615,-0.5654755126737576,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-04-02,2019,4,2,8.8,0.8,4.8,13.2,0.0,0.0,0.0,0.0,0.0,2019,2019-04-02,0.3,-0.4,39.4,0.0,0.0,39.6,0.0,0.0,92,4,0.9999300657962057,-0.011826390691832589,0.8660254037844387,-0.4999999999999997,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-03-28,2019,3,28,11.6,1.4,6.5,11.5,0.0,0.0,0.0,0.2,0.0,2019,2019-03-28,0.0,4.0,0.0,0.0,0.0,0.4,0.0,0.0,87,3,0.997249521077345,0.07411742515094435,1.0,6.123233995736766e-17,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-07,2019,8,7,26.7,19.3,23.0,0.0,5.0,0.0,0.0,0.0,0.0,2019,2019-08-07,5.1,23.1,5.1,0.0,0.0,5.100000000000007,0.0,0.0,219,8,-0.5856957398073507,-0.8105309990194824,-0.8660254037844383,-0.5000000000000003,4.3,0
-79.4,43.67,TORONTO CITY,6158355,2019-10-16,2019,10,16,13.7,8.5,11.1,6.9,0.0,0.0,0.0,20.7,0.0,2019,2019-10-16,0.0,9.7,0.0,0.0,0.0,3.300000000000007,0.0,0.0,289,10,-0.9666180104000973,0.25622182180711633,-0.8660254037844385,0.5,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-10-19,2019,10,19,12.1,3.5,7.8,10.2,0.0,0.0,0.0,0.0,0.0,2019,2019-10-19,0.0,7.7,20.7,0.0,0.0,24.000000000000007,0.0,0.0,292,10,-0.9521140536681103,0.30574307646728316,-0.8660254037844385,0.5,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-07-05,2020,7,5,33.4,19.1,26.3,0.0,8.3,0.0,0.0,0.5,0.0,2020,2020-07-05,1.0,26.1,1.9999999999999982,0.0,0.0,5.3000000000000105,0.0,0.0,187,7,-0.07518957641475855,-0.9971692572470178,-0.4999999999999997,-0.8660254037844387,0.5,0
-79.4,43.67,TORONTO CITY,6158355,2019-02-08,2019,2,8,5.9,-8.7,-1.4,19.4,0.0,0.0,0.0,0.2,2.0,2019,2019-02-08,1.0,2.0,12.200000000000001,0.0,0.0,14.3,0.0,0.0,39,2,0.6216868902665479,0.7832658619336792,0.8660254037844385,0.5000000000000001,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-08-09,2019,8,9,25.8,16.1,20.9,0.0,2.9,0.0,0.0,0.0,0.0,2019,2019-08-09,4.3,22.2,9.399999999999999,0.0,0.0,9.400000000000006,0.0,0.0,221,8,-0.6132298262997501,-0.7899045386224708,-0.8660254037844383,-0.5000000000000003,0.0,0
-79.4,43.67,TORONTO CITY,6158355,2019-11-06,2019,11,6,4.9,-0.4,2.2,15.8,0.0,0.0,0.0,0.5,0.0,2019,2019-11-06,0.0,6.7,0.4,0.0,0.0,42.30000000000001,0.0,0.0,310,11,-0.8136678304455992,0.5813300798152041,-0.5000000000000003,0.8660254037844383,4.3,0
-79.4,43.67,TORONTO CITY,6158355,2020-05-17,2020,5,17,15.3,9.8,12.5,5.5,0.0,0.0,0.0,1.4,0.0,2020,2020-05-17,1.2,13.2,7.6999999999999975,0.0,0.0,14.50000000000001,0.0,0.0,138,5,0.6944521021088763,-0.719538934232584,0.4999999999999999,-0.8660254037844386,8.0,0
-79.4,43.67,TORONTO CITY,6158355,2020-02-21,2020,2,21,1.0,-9.1,-4.1,22.1,0.0,0.0,0.0,0.2,4.0,2020,2020-02-21,1.0,-6.5,9.599999999999998,0.0,0.0,12.000000000000007,0.0,0.0,52,2,0.7799125224167178,0.6258885343075017,0.8660254037844385,0.5000000000000001,0.2,0
-79.4,43.67,TORONTO CITY,6158355,2020-12-29,2020,12,29,-0.5,-4.0,-2.3,20.3,0.0,0.0,0.0,0.0,0.0,2020,2020-12-29,3.4,1.7,4.9,0.0,0.0,23.00000000000001,0.0,0.0,364,12,-0.021501372740813793,0.9997688187627483,-2.4492935982947064e-16,1.0,5.9,0
